MIPS 24 microns
     	
lambda     	response
18.005     	0.000237
18.068     	0.000231
18.131     	0.000173
18.194     	1.17E-05
18.258     	0.000229
18.323     	0.000228
18.388     	0.000237
18.453     	0.000241
18.519     	0.000245
18.586     	0.000573
18.652     	0.000595
18.720     	0.000401
18.788     	0.000135
18.856     	0.000275
18.925     	0.000277
18.994     	0.000185
19.064     	0.00019
19.134     	0.000644
19.205     	0.000764
19.277     	0.000557
19.348     	0.000657
19.421     	0.000736
19.494     	0.001573
19.567     	0.002129
19.642     	0.003627
19.716     	0.004662
19.792     	0.00671
19.867     	0.008835
19.944     	0.012914
20.021     	0.0145
20.098     	0.019532
20.177     	0.024468
20.255     	0.031953
20.335     	0.050973
20.415     	0.076447
20.496     	0.120929
20.577     	0.177656
20.659     	0.252554
20.742     	0.377777
20.825     	0.528659
20.909     	0.735924
20.993     	0.813463
21.079     	0.857335
21.165     	0.882477
21.252     	0.907091
21.339     	0.932828
21.427     	0.957009
21.516     	0.973634
21.606     	0.984957
21.696     	0.991663
21.787     	0.997749
21.879     	1
21.972     	0.998522
22.065     	0.988564
22.160     	0.970058
22.255     	0.935205
22.351     	0.926258
22.448     	0.899796
22.545     	0.880798
22.644     	0.865925
22.743     	0.856114
22.843     	0.857699
22.944     	0.856779
23.046     	0.850509
23.149     	0.83452
23.253     	0.815473
23.358     	0.795473
23.463     	0.775875
23.570     	0.752764
23.678     	0.746808
23.786     	0.777653
23.896     	0.798943
24.006     	0.839877
24.118     	0.876265
24.231     	0.911819
24.345     	0.929431
24.459     	0.924876
24.575     	0.917978
24.692     	0.897806
24.810     	0.879948
24.930     	0.859096
25.050     	0.833534
25.172     	0.803216
25.295     	0.77089
25.419     	0.736609
25.544     	0.695704
25.670     	0.649479
25.798     	0.602661
25.927     	0.558191
26.057     	0.519174
26.189     	0.486209
26.322     	0.455974
26.456     	0.428693
26.592     	0.406171
26.729     	0.381986
26.867     	0.354378
27.007     	0.326682
27.149     	0.296838
27.292     	0.261178
27.436     	0.225878
27.582     	0.195445
27.729     	0.170226
27.878     	0.148445
28.029     	0.130555
28.181     	0.117945
28.335     	0.107676
28.491     	0.097827
28.649     	0.088869
28.808     	0.080512
28.969     	0.072124
29.131     	0.060997
29.296     	0.051086
29.462     	0.042525
29.631     	0.035384
29.801     	0.029764
29.973     	0.025596
30.148     	0.021807
30.324     	0.01919
30.502     	0.016606
30.683     	0.013779
30.865     	0.011002
31.050     	0.008476
31.237     	0.006381
31.427     	0.004758
31.618     	0.003471
31.812     	0.002394
32.009     	0.001482
32.207     	0.000727
119.1774     	0.008284
119.3552     	0.00864
119.5337     	0.008983
119.7126     	0.009191
119.8921     	0.009407
120.0721     	0.009608
120.2527     	0.009991
120.4338     	0.010152
120.6154     	0.010587
120.7976     	0.011319
120.9804     	0.011818
121.1637     	0.012091
121.3475     	0.012364
121.5319     	0.012936
121.7169     	0.013422
121.9025     	0.014121
122.0886     	0.014813
122.2752     	0.015229
122.4625     	0.016504
122.6503     	0.017405
122.8387     	0.017946
123.0277     	0.018605
123.2173     	0.019464
123.4074     	0.020663
123.5982     	0.021828
123.7895     	0.022674
